colour	x	y	showSelected1	showSelected2	fill
#4283C9	11	0.591549430918953	27	hit	#4283C9
#0D3A6B	12	0.400563499208679	27	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	27	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	27	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	27	miss	#0D3A6B
#4283C9	16	0.193662073189215	27	hit	#4283C9
#4283C9	17	0.273239544735163	27	hit	#4283C9
#4283C9	18	0.35281701628111	27	hit	#4283C9
#0D3A6B	19	0.273239544735163	27	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	27	miss	#0D3A6B
#4283C9	21	0.273239544735163	27	hit	#4283C9
#0D3A6B	22	0.215365019974474	27	miss	#0D3A6B
#4283C9	23	0.273239544735163	27	hit	#4283C9
#4283C9	24	0.331114069495852	27	hit	#4283C9
#4283C9	25	0.388988594256541	27	hit	#4283C9
#0D3A6B	26	0.326291192432461	27	miss	#0D3A6B
#0D3A6B	27	0.273239544735163	27	miss	#0D3A6B
#0D3A6B	28	0.227766703851764	27	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	28	miss	#0D3A6B
#4283C9	3	0.273239544735163	28	hit	#4283C9
#4283C9	4	0.909859317102744	28	hit	#4283C9
#0D3A6B	5	0.273239544735163	28	miss	#0D3A6B
#4283C9	6	0.591549430918953	28	hit	#4283C9
#0D3A6B	7	0.273239544735163	28	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	28	miss	#0D3A6B
#4283C9	9	0.273239544735163	28	hit	#4283C9
#4283C9	10	0.432394487827058	28	hit	#4283C9
#4283C9	11	0.591549430918953	28	hit	#4283C9
#0D3A6B	12	0.400563499208679	28	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	28	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	28	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	28	miss	#0D3A6B
#4283C9	16	0.193662073189215	28	hit	#4283C9
#4283C9	17	0.273239544735163	28	hit	#4283C9
#4283C9	18	0.35281701628111	28	hit	#4283C9
#0D3A6B	19	0.273239544735163	28	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	28	miss	#0D3A6B
#4283C9	21	0.273239544735163	28	hit	#4283C9
#0D3A6B	22	0.215365019974474	28	miss	#0D3A6B
#4283C9	23	0.273239544735163	28	hit	#4283C9
#4283C9	24	0.331114069495852	28	hit	#4283C9
#4283C9	25	0.388988594256541	28	hit	#4283C9
#0D3A6B	26	0.326291192432461	28	miss	#0D3A6B
#0D3A6B	27	0.273239544735163	28	miss	#0D3A6B
#0D3A6B	28	0.227766703851764	28	miss	#0D3A6B
#0D3A6B	29	0.188356908419485	28	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	29	miss	#0D3A6B
#4283C9	3	0.273239544735163	29	hit	#4283C9
#4283C9	4	0.909859317102744	29	hit	#4283C9
#0D3A6B	5	0.273239544735163	29	miss	#0D3A6B
#4283C9	6	0.591549430918953	29	hit	#4283C9
#0D3A6B	7	0.273239544735163	29	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	29	miss	#0D3A6B
#4283C9	9	0.273239544735163	29	hit	#4283C9
#4283C9	10	0.432394487827058	29	hit	#4283C9
#4283C9	11	0.591549430918953	29	hit	#4283C9
#0D3A6B	12	0.400563499208679	29	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	29	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	29	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	29	miss	#0D3A6B
#4283C9	16	0.193662073189215	29	hit	#4283C9
#4283C9	17	0.273239544735163	29	hit	#4283C9
#4283C9	18	0.35281701628111	29	hit	#4283C9
#0D3A6B	19	0.273239544735163	29	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	29	miss	#0D3A6B
#4283C9	21	0.273239544735163	29	hit	#4283C9
#0D3A6B	22	0.215365019974474	29	miss	#0D3A6B
#4283C9	23	0.273239544735163	29	hit	#4283C9
#4283C9	24	0.331114069495852	29	hit	#4283C9
#4283C9	25	0.388988594256541	29	hit	#4283C9
#0D3A6B	26	0.326291192432461	29	miss	#0D3A6B
#0D3A6B	27	0.273239544735163	29	miss	#0D3A6B
#0D3A6B	28	0.227766703851764	29	miss	#0D3A6B
#0D3A6B	29	0.188356908419485	29	miss	#0D3A6B
#0D3A6B	30	0.153873337416241	29	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	30	miss	#0D3A6B
#4283C9	3	0.273239544735163	30	hit	#4283C9
#4283C9	4	0.909859317102744	30	hit	#4283C9
#0D3A6B	5	0.273239544735163	30	miss	#0D3A6B
#4283C9	6	0.591549430918953	30	hit	#4283C9
#0D3A6B	7	0.273239544735163	30	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	30	miss	#0D3A6B
#4283C9	9	0.273239544735163	30	hit	#4283C9
#4283C9	10	0.432394487827058	30	hit	#4283C9
